Distance	Confidence
3.7817	0.3389
3.7847	0.3382
3.7878	0.3374
3.7909	0.3366
3.794	0.3358
3.7971	0.335
3.8002	0.3342
3.8033	0.3334
3.8064	0.3326
3.8095	0.3318
3.8126	0.331
3.8157	0.3302
3.8188	0.3294
3.8219	0.3286
3.8249	0.3278
3.828	0.327
3.8311	0.3262
3.8342	0.3254
3.8373	0.3246
3.8404	0.3238
3.8435	0.323
3.8466	0.3222
3.8497	0.3214
3.8528	0.3206
3.8559	0.3198
3.859	0.319
3.862	0.3182
3.8651	0.3174
3.8682	0.3166
3.8713	0.3158
3.8744	0.315
3.8775	0.3142
3.8806	0.3134
3.8837	0.3126
3.8868	0.3118
3.8899	0.311
3.893	0.3102
3.8961	0.3093
3.8992	0.3085
3.9022	0.3078
3.9053	0.3069
3.9084	0.3061
3.9115	0.3053
3.9146	0.3045
3.9177	0.3037
3.9208	0.3029
3.9239	0.3021
3.927	0.3013
3.9301	0.3005
3.9332	0.2996
3.9363	0.2988
3.9394	0.298
3.9424	0.2972
3.9455	0.2964
3.9486	0.2956
3.9517	0.2948
3.9548	0.294
3.9579	0.2931
3.961	0.2923
3.9641	0.2915
3.9672	0.2907
3.9703	0.2899
3.9734	0.289
3.9765	0.2882
3.9795	0.2874
3.9826	0.2866
3.9857	0.2858
3.9888	0.285
3.9919	0.2841
3.995	0.2833
3.9981	0.2825
4.0012	0.2817
4.0043	0.2808
4.0074	0.28
4.0105	0.2792
4.0136	0.2784
4.0167	0.2775
4.0197	0.2767
4.0228	0.2759
4.0259	0.2751
4.029	0.2742
4.0321	0.2734
4.0352	0.2726
4.0383	0.2717
4.0414	0.2709
4.0445	0.2701
4.0476	0.2692
4.0507	0.2684
4.0538	0.2676
4.0569	0.2667
4.0599	0.2659
4.063	0.2651
4.0661	0.2642
4.0692	0.2634
4.0723	0.2626
4.0754	0.2617
4.0785	0.2609
4.0816	0.2601
4.0847	0.2592
4.0878	0.2584
4.0909	0.2575
4.094	0.2567
4.097	0.2559
4.1001	0.255
4.1032	0.2542
4.1063	0.2533
4.1094	0.2525
4.1125	0.2517
4.1156	0.2508
4.1187	0.25
4.1218	0.2491
4.1249	0.2483
4.128	0.2474
4.1311	0.2466
4.1342	0.2457
4.1372	0.2449
4.1403	0.2441
4.1434	0.2432
4.1465	0.2424
4.1496	0.2415
4.1527	0.2407
4.1558	0.2398
4.1589	0.239
4.162	0.2381
4.1651	0.2373
4.1682	0.2364
4.1713	0.2355
4.1744	0.2347
4.1774	0.2339
4.1805	0.233
4.1836	0.2322
4.1867	0.2313
4.1898	0.2305
4.1929	0.2296
4.196	0.2287
4.1991	0.2279
4.2022	0.227
4.2053	0.2262
4.2084	0.2253
4.2115	0.2245
4.2145	0.2236
4.2176	0.2228
4.2207	0.2219
4.2238	0.2211
4.2269	0.2202
4.23	0.2194
4.2331	0.2185
4.2362	0.2176
4.2393	0.2168
4.2424	0.2159
4.2455	0.2151
4.2486	0.2142
4.2517	0.2134
4.2547	0.2125
4.2578	0.2117
4.2609	0.2108
4.264	0.21
4.2671	0.2091
4.2702	0.2082
4.2733	0.2074
4.2764	0.2065
4.2795	0.2057
4.2826	0.2048
4.2857	0.204
4.2888	0.2031
4.2919	0.2023
4.2949	0.2014
4.298	0.2006
4.3011	0.1997
4.3042	0.1989
4.3073	0.198
4.3104	0.1971
4.3135	0.1963
4.3166	0.1954
4.3197	0.1946
4.3228	0.1937
4.3259	0.1929
4.329	0.192
4.332	0.1912
4.3351	0.1903
4.3382	0.1895
4.3413	0.1886
4.3444	0.1878
4.3475	0.1869
4.3506	0.1861
4.3537	0.1852
4.3568	0.1844
4.3599	0.1835
4.363	0.1827
4.3661	0.1818
4.3692	0.181
4.3722	0.1802
4.3753	0.1793
4.3784	0.1785
4.3815	0.1776
4.3846	0.1768
4.3877	0.176
4.3908	0.1751
4.3939	0.1743
4.397	0.1734
4.4001	0.1726
