GeneID	GeneSymbol	# drug associations
8313	AXIN2	3
558	AXL	4
563	AZGP1	3
64343	AZI2	1
51582	AZIN1	1
567	B2M	14
148789	B3GALNT2	1
8705	B3GALT4	1
10317	B3GALT5	3
126792	B3GALT6	1
26229	B3GAT3	1
10331	B3GNT3	2
146712	B3GNTL1	1
2683	B4GALT1	3
8703	B4GALT3	1
8702	B4GALT4	1
9334	B4GALT5	1
11285	B4GALT7	1
11041	B4GAT1	1
29086	BABAM1	3
9577	BABAM2	2
23621	BACE1	10
25825	BACE2	3
571	BACH1	10
572	BAD	38
573	BAG1	3
9532	BAG2	3
9531	BAG3	6
9530	BAG4	2
9529	BAG5	3
7917	BAG6	5
10458	BAIAP2	3
55971	BAIAP2L1	3
80115	BAIAP2L2	1
578	BAK1	43
25805	BAMBI	2
8815	BANF1	4
8314	BAP1	2
580	BARD1	1
8538	BARX2	1
8213	BAS	1
10409	BASP1	5
581	BAX	203
11177	BAZ1A	1
9031	BAZ1B	5
11176	BAZ2A	2
29994	BAZ2B	1
27113	BBC3	27
79095	BBLN	1
80127	BBOF1	1
585	BBS4	1
56987	BBX	3
4059	BCAM	4
10134	BCAP31	3
9564	BCAR1	8
8412	BCAR3	3
400500	BCAR4	1
10286	BCAS2	2
54828	BCAS3	2
55653	BCAS4	2
587	BCAT2	3
56647	BCCIP	2
590	BCHE	24
593	BCKDHA	4
594	BCKDHB	2
10295	BCKDK	2
8915	BCL10	1
596	BCL2	237
597	BCL2A1	7
12044	BCL2A1A	2
598	BCL2L1	83
10018	BCL2L11	25
83596	BCL2L12	2
23786	BCL2L13	3
79370	BCL2L14	1
599	BCL2L2	8
602	BCL3	2
604	BCL6	2
9275	BCL7B	3
9274	BCL7C	3
607	BCL9	1
283149	BCL9L	4
9774	BCLAF1	5
256643	BCLAF3	2
53630	BCO1	1
54880	BCOR	3
63035	BCORL1	2
613	BCR	7
622	BDH1	3
56898	BDH2	2
623	BDKRB1	5
624	BDKRB2	2
627	BDNF	24
55814	BDP1	1
146227	BEAN1	1
8678	BECN1	51
57596	BEGAIN	1
57673	BEND3	2
7439	BEST1	2
