threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.2	6	580	0.536	0.383	124.547
0.2	6	600	0.536	0.383	124.547
0.2	7	20	0.314	1.452	96.533
0.2	7	40	0.373	1.301	80.436
0.2	7	60	0.416	1.178	73.832
0.2	7	80	0.447	1.098	69.38
0.2	7	100	0.466	1.015	66.586
0.2	7	120	0.483	0.917	65.899
0.2	7	140	0.489	0.832	64.874
0.2	7	160	0.494	0.747	64.299
0.2	7	180	0.504	0.683	66.741
0.2	7	200	0.508	0.617	68.064
0.2	7	220	0.51	0.559	70.399
0.2	7	240	0.511	0.51	74.357
0.2	7	260	0.514	0.466	79.316
0.2	7	280	0.521	0.417	87.601
0.2	7	300	0.531	0.377	100.931
0.2	7	320	0.539	0.354	114.905
0.2	7	340	0.538	0.363	124.66
0.2	7	360	0.542	0.394	130.835
0.2	7	380	0.542	0.395	130.952
0.2	7	400	0.542	0.395	130.952
0.2	7	420	0.542	0.395	130.952
0.2	7	440	0.542	0.395	130.952
0.2	7	460	0.542	0.395	130.952
0.2	7	480	0.542	0.395	130.952
0.2	7	500	0.542	0.395	130.952
0.2	7	520	0.542	0.395	130.952
0.2	7	540	0.542	0.395	130.952
0.2	7	560	0.542	0.395	130.952
0.2	7	580	0.542	0.395	130.952
0.2	7	600	0.542	0.395	130.952
0.2	8	20	0.315	1.458	97.602
0.2	8	40	0.366	1.292	78.56
0.2	8	60	0.416	1.162	74.278
0.2	8	80	0.44	1.091	68.875
0.2	8	100	0.46	1.009	66.022
0.2	8	120	0.472	0.91	63.689
0.2	8	140	0.478	0.838	62.48
0.2	8	160	0.483	0.757	62.775
0.2	8	180	0.491	0.683	63.527
0.2	8	200	0.504	0.622	67.446
0.2	8	220	0.503	0.566	69.281
0.2	8	240	0.505	0.517	72.06
0.2	8	260	0.508	0.47	76.421
0.2	8	280	0.524	0.415	89.579
0.2	8	300	0.533	0.371	101.749
